[ 2026-02-15 17:22:35 | 0.0.0.0:45421 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3857998847961426, 'test_acc': 0.9532163739204407, 'test_precision': 0.8579480051994324, 'test_recall': 0.8445756435394287, 'test_f1': 0.8496960401535034}
[ 2026-02-15 17:22:35 | 0.0.0.0:55477 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.38913464546203613, 'test_acc': 0.8875739574432373, 'test_precision': 0.8001633882522583, 'test_recall': 0.7710134983062744, 'test_f1': 0.7810639142990112}
[ 2026-02-15 17:22:35 | 0.0.0.0:45421 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 17:22:35 | 0.0.0.0:56811 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:42721']
[ 2026-02-15 17:22:35 | 0.0.0.0:55477 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 17:22:35 | 0.0.0.0:56811 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:54771']
[ 2026-02-15 17:22:35 | 0.0.0.0:41105 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:59979']
[ 2026-02-15 17:22:35 | 0.0.0.0:42387 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:57037']
[ 2026-02-15 17:22:35 | 0.0.0.0:35715 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:42387']
[ 2026-02-15 17:22:35 | 0.0.0.0:59667 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 17:22:35 | 0.0.0.0:36643 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:48947']
[ 2026-02-15 17:22:36 | 0.0.0.0:58189 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:55433']
[ 2026-02-15 17:22:36 | 0.0.0.0:46831 | INFO ] 🧩 Model added for round 93 (4/8) from ['0.0.0.0:36383']
[ 2026-02-15 17:22:36 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (7/13) from ['0.0.0.0:41105']
[ 2026-02-15 17:22:36 | 0.0.0.0:55885 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:40387']
[ 2026-02-15 17:22:36 | 0.0.0.0:41291 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 17:22:36 | 0.0.0.0:53195 | INFO ] 🧩 Model added for round 93 (8/13) from ['0.0.0.0:57243']
[ 2026-02-15 17:22:36 | 0.0.0.0:36643 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:38701', '0.0.0.0:56811', '0.0.0.0:48389', '0.0.0.0:45421', '0.0.0.0:45321', '0.0.0.0:48947', '0.0.0.0:41105', '0.0.0.0:42721', '0.0.0.0:44345', '0.0.0.0:55477', '0.0.0.0:60407']
[ 2026-02-15 17:22:36 | 0.0.0.0:57037 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:36253']
[ 2026-02-15 17:22:37 | 0.0.0.0:38701 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:36643']
[ 2026-02-15 17:22:37 | 0.0.0.0:41719 | INFO ] 🧩 Model added for round 93 (3/4) from ['0.0.0.0:53195']
[ 2026-02-15 17:22:37 | 0.0.0.0:48947 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:60407']
[ 2026-02-15 17:22:37 | 0.0.0.0:59979 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:48057']
[ 2026-02-15 17:22:37 | 0.0.0.0:42797 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:43967']
[ 2026-02-15 17:22:37 | 0.0.0.0:57037 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:60823']
[ 2026-02-15 17:22:37 | 0.0.0.0:53995 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:55885']
