[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | WARNING ] Force clearing aggregator state to start new round.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] ♻️ Proactively processing 1 early models.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🧩 Model added (2/2) from ['0.0.0.0:45781']
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] ✅ [FORCE] Local model added. (1/4)
