[ 2026-02-15 22:01:42 | 0.0.0.0:60653 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:42 | 0.0.0.0:40143 | INFO ] 🧩 Model added for round 93 (8/15) from ['0.0.0.0:59687']
[ 2026-02-15 22:01:42 | 0.0.0.0:40143 | INFO ] 🧩 Model added for round 93 (9/15) from ['0.0.0.0:57855']
[ 2026-02-15 22:01:42 | 0.0.0.0:60653 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:42 | 0.0.0.0:40143 | INFO ] 🧩 Model added for round 93 (10/15) from ['0.0.0.0:54425']
[ 2026-02-15 22:01:42 | 0.0.0.0:40143 | INFO ] 🧩 Model added for round 93 (11/15) from ['0.0.0.0:48911']
[ 2026-02-15 22:01:43 | 0.0.0.0:40143 | INFO ] 🧩 Model added for round 93 (12/15) from ['0.0.0.0:57461']
[ 2026-02-15 22:01:43 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (7/12) from ['0.0.0.0:35477']
[ 2026-02-15 22:01:43 | 0.0.0.0:40143 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:43 | 0.0.0.0:60653 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:43 | 0.0.0.0:46191 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:48293']
[ 2026-02-15 22:01:43 | 0.0.0.0:60653 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:43 | 0.0.0.0:58125 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:43 | 0.0.0.0:60653 | INFO ] ✅ [FORCE] Local model added for round 93. (9/11)
[ 2026-02-15 22:01:43 | 0.0.0.0:40143 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:43 | 0.0.0.0:40143 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:43 | 0.0.0.0:40143 | INFO ] ✅ [FORCE] Local model added for round 93. (13/15)
[ 2026-02-15 22:01:43 | 0.0.0.0:46103 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:44 | 0.0.0.0:43579 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:51783']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-02-15 22:01:44 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🧩 Model added for round 93 (1/7) from ['0.0.0.0:36927']
[ 2026-02-15 22:01:44 | 0.0.0.0:51783 | INFO ] 🧩 Model added for round 93 (9/14) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🧩 Model added for round 93 (2/7) from ['0.0.0.0:54027']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🧩 Model added for round 93 (3/7) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🧩 Model added for round 93 (4/7) from ['0.0.0.0:58125']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🧩 Model added for round 93 (5/7) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:44 | 0.0.0.0:46103 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:44 | 0.0.0.0:54425 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:48293']
[ 2026-02-15 22:01:45 | 0.0.0.0:46103 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:45 | 0.0.0.0:46103 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:45 | 0.0.0.0:46103 | INFO ] ✅ [FORCE] Local model added for round 93. (6/7)
[ 2026-02-15 22:01:45 | 0.0.0.0:60653 | INFO ] 🧩 Model added for round 93 (10/11) from ['0.0.0.0:35477']
[ 2026-02-15 22:01:45 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (13/13) from ['0.0.0.0:51783']
