[ 2026-03-06 13:53:13 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.24737289547920227, 'test_acc': 0.9682539701461792, 'test_precision': 0.8289855122566223, 'test_recall': 0.8646997809410095, 'test_f1': 0.8287723064422607, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_21 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4041266441345215, 'test_acc': 0.9537572264671326, 'test_precision': 0.9155482649803162, 'test_recall': 0.9277791976928711, 'test_f1': 0.9177926778793335, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_8 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_35 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_44 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_14 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_31 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_27 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_15 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_16 | INFO ] 🔬 Evaluating...
