[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] ✅ [FORCE] Local model added. (1/5)
[ 2026-02-15 08:40:45 | 0.0.0.0:55817 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:37699', '0.0.0.0:51449', '0.0.0.0:60331', '0.0.0.0:48049', '0.0.0.0:58027', '0.0.0.0:51535']
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.071460008621216, 'test_acc': 0.8999999761581421, 'test_precision': 0.9140458703041077, 'test_recall': 0.885873019695282, 'test_f1': 0.8863969445228577}
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🎉 Round 65 of 100 finished.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:46 | 0.0.0.0:55817 | INFO ] 🧩 Model added (2/7) from ['0.0.0.0:60331']
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:46 | 0.0.0.0:60331 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 08:40:47 | 0.0.0.0:45597 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
